patch_id,pixels,area_ha,mean_delta,metric
1,2301,828.3600,-0.808768,nbr
49,460,165.6000,-0.820190,nbr
24,82,29.5200,-0.752648,nbr
3,80,28.8000,-0.544384,nbr
33,77,27.7200,-0.819543,nbr
8,70,25.2000,-0.827583,nbr
107,64,23.0400,-0.723162,nbr
17,58,20.8800,-0.972581,nbr
26,58,20.8800,-0.922040,nbr
4,55,19.8000,-0.724358,nbr
95,51,18.3600,-0.801320,nbr
65,48,17.2800,-0.994719,nbr
21,46,16.5600,-0.994547,nbr
54,45,16.2000,-0.729511,nbr
50,44,15.8400,-0.977324,nbr
100,41,14.7600,-0.738870,nbr
125,39,14.0400,-0.539455,nbr
43,36,12.9600,-0.737157,nbr
124,36,12.9600,-0.813494,nbr
53,35,12.6000,-0.573366,nbr
89,33,11.8800,-0.709581,nbr
140,32,11.5200,-0.841534,nbr
137,30,10.8000,-0.691776,nbr
138,30,10.8000,-0.724913,nbr
114,28,10.0800,-0.882613,nbr
112,26,9.3600,-0.641405,nbr
25,24,8.6400,-0.786995,nbr
101,24,8.6400,-0.620352,nbr
47,23,8.2800,-0.568306,nbr
104,23,8.2800,-0.799511,nbr
129,23,8.2800,-0.849664,nbr
133,23,8.2800,-0.533137,nbr
5,22,7.9200,-0.998531,nbr
58,22,7.9200,-0.629469,nbr
61,22,7.9200,-0.556543,nbr
86,21,7.5600,-0.585203,nbr
97,21,7.5600,-0.860497,nbr
87,20,7.2000,-0.389187,nbr
34,18,6.4800,-0.825906,nbr
74,18,6.4800,-0.474635,nbr
2,17,6.1200,-0.376310,nbr
128,17,6.1200,-0.646562,nbr
39,16,5.7600,-0.687455,nbr
42,16,5.7600,-0.723043,nbr
60,16,5.7600,-0.668190,nbr
106,16,5.7600,-0.483924,nbr
122,16,5.7600,-0.630723,nbr
123,15,5.4000,-0.997860,nbr
84,14,5.0400,-0.512595,nbr
30,13,4.6800,-0.661004,nbr
70,13,4.6800,-0.699268,nbr
130,13,4.6800,-0.849328,nbr
134,13,4.6800,-0.354392,nbr
72,12,4.3200,-0.988660,nbr
102,12,4.3200,-0.960997,nbr
118,12,4.3200,-0.576305,nbr
145,12,4.3200,-0.375241,nbr
146,12,4.3200,-0.678744,nbr
57,11,3.9600,-0.702697,nbr
62,11,3.9600,-0.500278,nbr
94,11,3.9600,-0.756723,nbr
36,10,3.6000,-0.897735,nbr
51,10,3.6000,-0.383552,nbr
75,10,3.6000,-0.564164,nbr
90,10,3.6000,-0.661354,nbr
117,10,3.6000,-0.693170,nbr
127,10,3.6000,-0.503047,nbr
135,10,3.6000,-0.387304,nbr
28,9,3.2400,-0.615219,nbr
78,9,3.2400,-0.807853,nbr
83,9,3.2400,-0.850904,nbr
119,9,3.2400,-0.665529,nbr
142,9,3.2400,-0.655228,nbr
7,8,2.8800,-0.579165,nbr
10,8,2.8800,-1.268367,nbr
31,8,2.8800,-0.954743,nbr
59,8,2.8800,-0.504800,nbr
73,8,2.8800,-0.494826,nbr
98,8,2.8800,-0.621727,nbr
103,8,2.8800,-0.498340,nbr
115,8,2.8800,-0.498603,nbr
120,8,2.8800,-0.441788,nbr
136,8,2.8800,-0.379249,nbr
9,7,2.5200,-0.706058,nbr
11,7,2.5200,-0.843307,nbr
13,7,2.5200,-1.106602,nbr
14,7,2.5200,-1.065338,nbr
29,7,2.5200,-0.603745,nbr
46,7,2.5200,-0.436408,nbr
56,7,2.5200,-0.449168,nbr
69,7,2.5200,-0.527802,nbr
116,7,2.5200,-0.466766,nbr
131,7,2.5200,-0.741743,nbr
148,7,2.5200,-0.458750,nbr
154,7,2.5200,-0.659793,nbr
155,7,2.5200,-0.360774,nbr
15,6,2.1600,-0.929349,nbr
32,6,2.1600,-0.552845,nbr
38,6,2.1600,-0.421352,nbr
40,6,2.1600,-0.854325,nbr
63,6,2.1600,-0.602884,nbr
66,6,2.1600,-0.655356,nbr
81,6,2.1600,-0.345392,nbr
82,6,2.1600,-0.591598,nbr
88,6,2.1600,-0.551870,nbr
92,6,2.1600,-0.652154,nbr
93,6,2.1600,-0.635542,nbr
96,6,2.1600,-0.554315,nbr
150,6,2.1600,-0.386641,nbr
153,6,2.1600,-0.466259,nbr
18,5,1.8000,-0.612046,nbr
19,5,1.8000,-0.362699,nbr
23,5,1.8000,-1.104335,nbr
35,5,1.8000,-0.585805,nbr
52,5,1.8000,-0.407079,nbr
64,5,1.8000,-0.385416,nbr
67,5,1.8000,-0.848365,nbr
71,5,1.8000,-0.703413,nbr
79,5,1.8000,-0.884424,nbr
91,5,1.8000,-0.642519,nbr
108,5,1.8000,-0.892604,nbr
121,5,1.8000,-0.932285,nbr
126,5,1.8000,-0.717601,nbr
132,5,1.8000,-1.099604,nbr
139,5,1.8000,-0.397310,nbr
141,5,1.8000,-0.350879,nbr
156,5,1.8000,-0.938716,nbr
6,4,1.4400,-1.052133,nbr
12,4,1.4400,-0.894082,nbr
16,4,1.4400,-0.464565,nbr
20,4,1.4400,-0.568351,nbr
22,4,1.4400,-1.115706,nbr
27,4,1.4400,-0.716495,nbr
37,4,1.4400,-0.379326,nbr
41,4,1.4400,-0.547406,nbr
44,4,1.4400,-0.684606,nbr
45,4,1.4400,-1.372524,nbr
48,4,1.4400,-0.391407,nbr
55,4,1.4400,-0.385728,nbr
68,4,1.4400,-1.168384,nbr
76,4,1.4400,-0.411129,nbr
77,4,1.4400,-0.450713,nbr
80,4,1.4400,-0.356055,nbr
85,4,1.4400,-0.761348,nbr
99,4,1.4400,-0.559155,nbr
105,4,1.4400,-0.360489,nbr
109,4,1.4400,-0.396018,nbr
110,4,1.4400,-0.589268,nbr
111,4,1.4400,-0.427302,nbr
113,4,1.4400,-0.384397,nbr
143,4,1.4400,-0.493088,nbr
144,4,1.4400,-0.316482,nbr
147,4,1.4400,-0.446932,nbr
149,4,1.4400,-1.008600,nbr
151,4,1.4400,-0.634108,nbr
152,4,1.4400,-0.671662,nbr
157,4,1.4400,-0.388199,nbr
